写法	候选正名	命中规则	出现次数	置信
栝蒌皮	栝蒌根	部位后缀+简称补全（子串）	18	low
大甘枸杞	枸杞	简称补全（子串）	7	low
栝蒌	栝蒌根	简称补全（子串）	5	low
生益智仁	益智	简称补全（子串，多候选）	5	medium
生益智仁	益智仁	简称补全（子串，多候选）	5	medium
乌附子	附子	简称补全（子串）	4	low
天台乌药散	乌药	简称补全（子串）	3	low
栝蒌仁	栝蒌根	部位后缀+简称补全（子串）	3	low
苦葶苈	葶苈	简称补全（子串）	3	low
麻仁	大麻仁	简称补全（子串，多候选）	3	medium
麻仁	火麻仁	简称补全（子串，多候选）	3	medium
大麦仁	大麦芽	部位后缀+简称补全（子串）	2	low
木防己	防己	简称补全（子串）	2	low
芝麻仁	黑芝麻	部位后缀+简称补全（子串）	2	low
茺蔚子	蔚子	简称补全（子串）	2	low
陈半夏曲	半夏	简称补全（子串）	2	low
鲜白茅根	白茅根	简称补全（子串，多候选）	2	medium
鲜白茅根	茅根	简称补全（子串，多候选）	2	medium
化州橘红	橘红	产地前缀+产地前缀	1	medium
四苓加椒目浓朴大腹皮青皮	大腹皮	简称补全（子串，多候选）	1	medium
四苓加椒目浓朴大腹皮青皮	椒目	简称补全（子串，多候选）	1	medium
四苓加椒目浓朴大腹皮青皮	青皮	简称补全（子串，多候选）	1	medium
姜汁炙白附子	白附	简称补全（子串，多候选）	1	medium
姜汁炙白附子	白附子	简称补全（子串，多候选）	1	medium
姜汁炙白附子	附子	简称补全（子串，多候选）	1	medium
姜汁竹沥丸	竹沥	简称补全（子串）	1	low
小茴香拌炒当归	小茴	简称补全（子串，多候选）	1	medium
小茴香拌炒当归	小茴香	简称补全（子串，多候选）	1	medium
小茴香拌炒当归	当归	简称补全（子串，多候选）	1	medium
松子仁浆	松子仁	简称补全（子串）	1	low
栝蒌汁	栝蒌根	既有炮制/部位后缀（core.herbs._HERB_SUFFIX）+简称补全（子串）	1	low
樗白皮	椿樗白皮	简称补全（子串）	1	low
沙苑	沙苑子	简称补全（子串，多候选）	1	medium
沙苑	沙苑蒺藜	简称补全（子串，多候选）	1	medium
浓橘红	橘红	简称补全（子串）	1	low
清提麦冬	麦冬	简称补全（子串）	1	low
炒荷叶蒂	荷叶	简称补全（子串）	1	low
甘枸杞	枸杞	简称补全（子串）	1	low
生炮附子	炮附	简称补全（子串，多候选）	1	medium
生炮附子	附子	简称补全（子串，多候选）	1	medium
细木通	木通	简称补全（子串）	1	low
绿豆壳	绿豆	简称补全（子串）	1	low
荆芥穗	荆芥	简称补全（子串）	1	low
薄荷冰	薄荷	简称补全（子串）	1	low
薄荷梗	荷梗	简称补全（子串，多候选）	1	medium
薄荷梗	薄荷	简称补全（子串，多候选）	1	medium
藏红花	红花	简称补全（子串）	1	low
蛤蜊粉	蛤蜊肉	既有炮制/部位后缀（core.herbs._HERB_SUFFIX）+简称补全（子串）	1	low
蜜水煮生姜	生姜	简称补全（子串）	1	low
车前	车前子	简称补全（子串，多候选）	1	medium
车前	车前草	简称补全（子串，多候选）	1	medium
银花	山银花	简称补全（子串，多候选）	1	medium
银花	金银花	简称补全（子串，多候选）	1	medium
鸡子黄	鸡子	简称补全（子串）	1	low
