# R64：从开源数据合并来的药名别名。**手工审过的那批在 core/herbs.py 的
# HERB_ALIASES 里**，这个文件是批量合并来的，冲突时以代码里那份为准。
# 药典分列的品种（南北五味子、川怀牛膝、生熟地黄、生制首乌、川广木香）
# 在生成时就被排除，不在这里出现。
别名	正名	出处
一把伞南星	天南星	zhongyao-xuexi-baodian/aliases.js
一见喜	穿心莲	zhongyao-xuexi-baodian/aliases.js
七叶一枝花	重楼	zhongyao-xuexi-baodian/aliases.js
万荆子	蔓荆子	zhongyao-xuexi-baodian/aliases.js
三叶半夏	半夏	zhongyao-xuexi-baodian/aliases.js
三枝九叶草	淫羊藿	zhongyao-xuexi-baodian/aliases.js
三棱草根	香附	zhongyao-xuexi-baodian/aliases.js
上甲	鳖甲	zhongyao-xuexi-baodian/aliases.js
不老药	锁阳	zhongyao-xuexi-baodian/aliases.js
丛柏叶	侧柏叶	zhongyao-xuexi-baodian/aliases.js
东阿胶	阿胶	zhongyao-xuexi-baodian/aliases.js
丝棉皮	杜仲	zhongyao-xuexi-baodian/aliases.js
个青皮	青皮	zhongyao-xuexi-baodian/aliases.js
主田	甘遂	zhongyao-xuexi-baodian/aliases.js
乌元参	玄参	zhongyao-xuexi-baodian/aliases.js
乌扇	射干	zhongyao-xuexi-baodian/aliases.js
乌菜	海藻	zhongyao-xuexi-baodian/aliases.js
乌蒲	射干	zhongyao-xuexi-baodian/aliases.js
乌蔗子	覆盆子	zhongyao-xuexi-baodian/aliases.js
乌蛇	乌梢蛇	zhongyao-xuexi-baodian/aliases.js
乌贼骨	海螵蛸	zhongyao-xuexi-baodian/aliases.js
乌鲗骨	海螵蛸	zhongyao-xuexi-baodian/aliases.js
乌龟壳	龟甲	zhongyao-xuexi-baodian/aliases.js
九九花	款冬花	zhongyao-xuexi-baodian/aliases.js
九孔子	路路通	zhongyao-xuexi-baodian/aliases.js
九孔螺	石决明	zhongyao-xuexi-baodian/aliases.js
乳头香	乳香	zhongyao-xuexi-baodian/aliases.js
二丑	牵牛子	zhongyao-xuexi-baodian/aliases.js
二叶葎	白花蛇舌草	zhongyao-xuexi-baodian/aliases.js
二花	金银花	zhongyao-xuexi-baodian/aliases.js
云归	当归	zhongyao-xuexi-baodian/aliases.js
云果	草果	zhongyao-xuexi-baodian/aliases.js
云红	橘红	zhongyao-xuexi-baodian/aliases.js
云茯神	茯神	zhongyao-xuexi-baodian/aliases.js
五指柑	佛手	zhongyao-xuexi-baodian/aliases.js
五棱子	使君子	zhongyao-xuexi-baodian/aliases.js
五步蛇	蕲蛇	zhongyao-xuexi-baodian/aliases.js
京三棱	三棱	zhongyao-xuexi-baodian/aliases.js
人衔	人参	zhongyao-xuexi-baodian/aliases.js
仙灵脾	淫羊藿	zhongyao-xuexi-baodian/aliases.js
仙蟾	蛤蚧	zhongyao-xuexi-baodian/aliases.js
仙遗粮	土茯苓	zhongyao-xuexi-baodian/aliases.js
佛手柑	佛手	zhongyao-xuexi-baodian/aliases.js
使君肉	使君子	zhongyao-xuexi-baodian/aliases.js
侧柏子	柏子仁	zhongyao-xuexi-baodian/aliases.js
信前胡	前胡	zhongyao-xuexi-baodian/aliases.js
倒挂金钩	钩藤	zhongyao-xuexi-baodian/aliases.js
假绿豆	决明子	zhongyao-xuexi-baodian/aliases.js
傅致胶	阿胶	zhongyao-xuexi-baodian/aliases.js
僵虫	僵蚕	zhongyao-xuexi-baodian/aliases.js
元寸	麝香	zhongyao-xuexi-baodian/aliases.js
元柏	黄柏	zhongyao-xuexi-baodian/aliases.js
元肉	龙眼肉	zhongyao-xuexi-baodian/aliases.js
元胡	延胡索	zhongyao-xuexi-baodian/aliases.js
元胡索	延胡索	zhongyao-xuexi-baodian/aliases.js
光桃仁	桃仁	zhongyao-xuexi-baodian/aliases.js
光菝葜	土茯苓	zhongyao-xuexi-baodian/aliases.js
光藕节	藕节	zhongyao-xuexi-baodian/aliases.js
兔子肠	巴戟天	zhongyao-xuexi-baodian/aliases.js
全福花	旋覆花	zhongyao-xuexi-baodian/aliases.js
全虫	全蝎	zhongyao-xuexi-baodian/aliases.js
关木通(古)	木通	zhongyao-xuexi-baodian/aliases.js
冬虫草	冬虫夏草	zhongyao-xuexi-baodian/aliases.js
冬青子	女贞子	zhongyao-xuexi-baodian/aliases.js
冷石	滑石	zhongyao-xuexi-baodian/aliases.js
冷饭团	土茯苓	zhongyao-xuexi-baodian/aliases.js
凤眼前仁	车前子	zhongyao-xuexi-baodian/aliases.js
刀螂子	桑螵蛸	zhongyao-xuexi-baodian/aliases.js
刚子	巴豆	zhongyao-xuexi-baodian/aliases.js
刺儿菜	小蓟	zhongyao-xuexi-baodian/aliases.js
刺榆子	金樱子	zhongyao-xuexi-baodian/aliases.js
刺红花	红花	zhongyao-xuexi-baodian/aliases.js
刺蓟	大蓟	zhongyao-xuexi-baodian/aliases.js
剑脊乌梢蛇	乌梢蛇	zhongyao-xuexi-baodian/aliases.js
割孤露泽	胡黄连	zhongyao-xuexi-baodian/aliases.js
包袱花	桔梗	zhongyao-xuexi-baodian/aliases.js
化龙骨	龙骨	zhongyao-xuexi-baodian/aliases.js
北杏仁	苦杏仁	zhongyao-xuexi-baodian/aliases.js
北芪	黄芪	zhongyao-xuexi-baodian/aliases.js
十蕊荠	葶苈子	zhongyao-xuexi-baodian/aliases.js
千针草	小蓟	zhongyao-xuexi-baodian/aliases.js
卑相	麻黄	zhongyao-xuexi-baodian/aliases.js
南五加皮	五加皮	zhongyao-xuexi-baodian/aliases.js
南扁豆	扁豆	zhongyao-xuexi-baodian/aliases.js
南苍术	苍术	zhongyao-xuexi-baodian/aliases.js
厚皮	厚朴	zhongyao-xuexi-baodian/aliases.js
参三七	三七	zhongyao-xuexi-baodian/aliases.js
及泻	泽泻	zhongyao-xuexi-baodian/aliases.js
双花	金银花	zhongyao-xuexi-baodian/aliases.js
双钩藤	钩藤	zhongyao-xuexi-baodian/aliases.js
台乌药	乌药	zhongyao-xuexi-baodian/aliases.js
台党	党参	zhongyao-xuexi-baodian/aliases.js
台芎	川芎	zhongyao-xuexi-baodian/aliases.js
合昏皮	合欢皮	zhongyao-xuexi-baodian/aliases.js
吐丝子	菟丝子	zhongyao-xuexi-baodian/aliases.js
吴公	蜈蚣	zhongyao-xuexi-baodian/aliases.js
吸铁石	磁石	zhongyao-xuexi-baodian/aliases.js
味连	黄连	zhongyao-xuexi-baodian/aliases.js
和尚头	续断	zhongyao-xuexi-baodian/aliases.js
四叶参	太子参	zhongyao-xuexi-baodian/aliases.js
四花青皮	青皮	zhongyao-xuexi-baodian/aliases.js
回云	防风	zhongyao-xuexi-baodian/aliases.js
团鱼甲	鳖甲	zhongyao-xuexi-baodian/aliases.js
国老	甘草	zhongyao-xuexi-baodian/aliases.js
圆豆蔻	白豆蔻	zhongyao-xuexi-baodian/aliases.js
土元	土鳖虫	zhongyao-xuexi-baodian/aliases.js
土藿香	广藿香	zhongyao-xuexi-baodian/aliases.js
土贝母	贝母	zhongyao-xuexi-baodian/aliases.js
地参	知母	zhongyao-xuexi-baodian/aliases.js
地文	半夏	zhongyao-xuexi-baodian/aliases.js
地棕根	仙茅	zhongyao-xuexi-baodian/aliases.js
地槐	苦参	zhongyao-xuexi-baodian/aliases.js
地毛球	锁阳	zhongyao-xuexi-baodian/aliases.js
地瓜儿苗	泽兰	zhongyao-xuexi-baodian/aliases.js
地筋	白茅根	zhongyao-xuexi-baodian/aliases.js
地苏木	茜草	zhongyao-xuexi-baodian/aliases.js
地葵	地肤子	zhongyao-xuexi-baodian/aliases.js
地薰	柴胡	zhongyao-xuexi-baodian/aliases.js
地骨子	枸杞子	zhongyao-xuexi-baodian/aliases.js
地鳖虫	土鳖虫	zhongyao-xuexi-baodian/aliases.js
均姜	干姜	zhongyao-xuexi-baodian/aliases.js
坤草	益母草	zhongyao-xuexi-baodian/aliases.js
墨草	墨旱莲	zhongyao-xuexi-baodian/aliases.js
墨鱼骨	海螵蛸	zhongyao-xuexi-baodian/aliases.js
壳莲子	石莲子	zhongyao-xuexi-baodian/aliases.js
壳蔻	白豆蔻	zhongyao-xuexi-baodian/aliases.js
复花	旋覆花	zhongyao-xuexi-baodian/aliases.js
夏枯球	夏枯草	zhongyao-xuexi-baodian/aliases.js
夜交藤	首乌藤	zhongyao-xuexi-baodian/aliases.js
夜合皮	合欢皮	zhongyao-xuexi-baodian/aliases.js
大力子	牛蒡子	zhongyao-xuexi-baodian/aliases.js
大壁虎	蛤蚧	zhongyao-xuexi-baodian/aliases.js
大腹子	槟榔	zhongyao-xuexi-baodian/aliases.js
大艽	秦艽	zhongyao-xuexi-baodian/aliases.js
大芸	肉苁蓉	zhongyao-xuexi-baodian/aliases.js
大蓝根	板蓝根	zhongyao-xuexi-baodian/aliases.js
大贝	贝母	zhongyao-xuexi-baodian/aliases.js
大金钱草	金钱草	zhongyao-xuexi-baodian/aliases.js
大麦蘖	麦芽	zhongyao-xuexi-baodian/aliases.js
天台乌	乌药	zhongyao-xuexi-baodian/aliases.js
天文冬	天冬	zhongyao-xuexi-baodian/aliases.js
天虫	僵蚕	zhongyao-xuexi-baodian/aliases.js
天龙	蜈蚣	zhongyao-xuexi-baodian/aliases.js
头痛花	芫花	zhongyao-xuexi-baodian/aliases.js
奶米	王不留行	zhongyao-xuexi-baodian/aliases.js
姜形黄精	黄精	zhongyao-xuexi-baodian/aliases.js
婆固脂	补骨脂	zhongyao-xuexi-baodian/aliases.js
婆婆丁	蒲公英	zhongyao-xuexi-baodian/aliases.js
子芩	黄芩	zhongyao-xuexi-baodian/aliases.js
孩儿参	太子参	zhongyao-xuexi-baodian/aliases.js
守田	半夏	zhongyao-xuexi-baodian/aliases.js
宝鼎香	姜黄	zhongyao-xuexi-baodian/aliases.js
宣木瓜	木瓜	zhongyao-xuexi-baodian/aliases.js
家艾	艾叶	zhongyao-xuexi-baodian/aliases.js
家苏子	紫苏子	zhongyao-xuexi-baodian/aliases.js
寒号虫粪	五灵脂	zhongyao-xuexi-baodian/aliases.js
寸冬	麦冬	zhongyao-xuexi-baodian/aliases.js
寸干	射干	zhongyao-xuexi-baodian/aliases.js
将军	大黄	zhongyao-xuexi-baodian/aliases.js
将军草	大蓟	zhongyao-xuexi-baodian/aliases.js
小托盘	覆盆子	zhongyao-xuexi-baodian/aliases.js
小红豆	赤小豆	zhongyao-xuexi-baodian/aliases.js
小良姜	高良姜	zhongyao-xuexi-baodian/aliases.js
小草	远志	zhongyao-xuexi-baodian/aliases.js
小蒜	薤白	zhongyao-xuexi-baodian/aliases.js
小辛	细辛	zhongyao-xuexi-baodian/aliases.js
小辫儿	紫菀	zhongyao-xuexi-baodian/aliases.js
少辛	细辛	zhongyao-xuexi-baodian/aliases.js
屏风	防风	zhongyao-xuexi-baodian/aliases.js
山参	人参	zhongyao-xuexi-baodian/aliases.js
山枝	栀子	zhongyao-xuexi-baodian/aliases.js
山栀子	栀子	zhongyao-xuexi-baodian/aliases.js
山棉花	白头翁	zhongyao-xuexi-baodian/aliases.js
山漆	三七	zhongyao-xuexi-baodian/aliases.js
山瞿麦	瞿麦	zhongyao-xuexi-baodian/aliases.js
山石榴	金樱子	zhongyao-xuexi-baodian/aliases.js
山芋	山药	zhongyao-xuexi-baodian/aliases.js
山芍药	赤芍	zhongyao-xuexi-baodian/aliases.js
山菜根	银柴胡	zhongyao-xuexi-baodian/aliases.js
山萝卜	商陆	zhongyao-xuexi-baodian/aliases.js
山里果	山楂	zhongyao-xuexi-baodian/aliases.js
山里红	山楂	zhongyao-xuexi-baodian/aliases.js
川乌头	川乌	zhongyao-xuexi-baodian/aliases.js
川军	大黄	zhongyao-xuexi-baodian/aliases.js
川姜	干姜	zhongyao-xuexi-baodian/aliases.js
川枳壳	枳壳	zhongyao-xuexi-baodian/aliases.js
川枳实	枳实	zhongyao-xuexi-baodian/aliases.js
川芎药	白芍	zhongyao-xuexi-baodian/aliases.js
川萆薢	萆薢	zhongyao-xuexi-baodian/aliases.js
川附子	附子	zhongyao-xuexi-baodian/aliases.js
川黄柏	黄柏	zhongyao-xuexi-baodian/aliases.js
左秦艽	秦艽	zhongyao-xuexi-baodian/aliases.js
左转藤灰	海金沙	zhongyao-xuexi-baodian/aliases.js
巨句麦	瞿麦	zhongyao-xuexi-baodian/aliases.js
巴叶	枇杷叶	zhongyao-xuexi-baodian/aliases.js
巴菽	巴豆	zhongyao-xuexi-baodian/aliases.js
巴霜	巴豆	zhongyao-xuexi-baodian/aliases.js
