写法	出现次数
姜汁	82
生箭	16
秫米	8
两头尖	7
熟怀地黄	7
野台参	7
土栝蒌皮	4
金斛	4
韭白汁	4
栝蒌实	3
花粉	3
香豆豉	3
土栝蒌	2
姜	2
姜夏	2
官桂	2
小生地	2
枣	2
梨汁	2
淡姜	2
炒楂肉	2
炒薏米	2
生薏米	2
生赤豆皮	2
白蜜	2
草蔻	2
蔻仁	2
辽参	2
陈香橼	2
韭白	2
鲜省头草	2
丈菊子	1
五苓	1
伽南香	1
伽楠香汁	1
净火硝	1
制蒺藜	1
半叶藿梗	1
南楂肉	1
吴萸拌川连	1
地栗粉	1
大麦面	1
姜汁炒南星	1
姜汁炒川连	1
姜渣	1
安南桂	1
川浓朴	1
川熟附	1
川萆	1
广橘皮	1
归横须	1
归身	1
栝蒌霜	1
桂圆肉	1
桑皮	1
椒炭	1
楂肉	1
泡淡吴萸	1
海参	1
淡苁蓉	1
淡苁蓉干	1
淡香豉	1
潞参	1
炒沙苑	1
炒麻仁	1
炒黄米	1
炒黑杞子	1
炒黑楂肉	1
炙箭	1
熟于术	1
熟附	1
猪脊髓	1
甜水梨	1
甜水梨汁	1
生浓朴	1
生白蒺	1
生白蜜	1
生蕲艾	1
白大麦仁	1
白蒺藜	1
白蔻皮	1
真大生地	1
真枷南香	1
真雅连	1
石壳建莲	1
离中丹	1
秦椒	1
羊腰子	1
苦梗	1
茅山苍	1
茺蔚	1
蔗汁	1
蔗浆	1
蔡龟胶	1
藕汁	1
铁锈针	1
锦纹军	1
陈香豉	1
雄鼠粪	1
青橘皮	1
韭汁	1
韭白根	1
鲍鱼	1
黄色秫米	1
黑山栀壳	1
