# 教材扫描件的 OCR 错字修正表。一行三列：错\t对\t为什么会错 / 为什么这条安全。
#
# 为什么要有这张表：教材原文是扫描 + OCR 转出来的 markdown，形近字错得很规律。
# 错字落在 cardinal_symptoms/tongue_pulse 里，症状节点 id 就跟图谱里的对不上，
# 边指向不存在的节点（CLAUDE.md「已知的坑」里 S1 那条踩过同一个形状的坑）。
#
# **这张表只收"错的那个写法在中医语境里根本不成立"的条目。** 「唐」在舌象里
# 不是词（「舌淡苔白」的下一个字只能是「腻/滑/燥」这些，「大便唐薄」不成立，
# 正字是「溏」），所以替换它是安全的。凡是"两个写法都可能成立"的，一律不收
# ——宁可留着错字，也不要把一个正确的原文改错。
#
# 替换是**整词**替换，不是逐字替换：只写「唐→溏」会把「唐代」也改掉。
# 所以左列一律是包含上下文的整词。
错	对	说明
大便唐薄	大便溏薄	OCR 把「溏」认成「唐」；「大便唐薄」在中医语境里不成立
便唐	便溏	同上，短写法也要收——教材里两种写法都出现
唐泻	溏泻	同上
瓜萎	瓜蒌	「蒌」的草字头被认成「萎」；瓜蒌是药名，瓜萎不是
萎仁	蒌仁	瓜蒌仁的简写，同一个错法
新加香饮	新加香薷饮	OCR 掉了「薷」字；方名残缺会让方剂匹配全部落空
香饮	香薷饮	同上，短写法
苔薄自	苔薄白	「白」认成「自」；舌象里「苔薄自」不成立
面色苍自	面色苍白	同上
自术	白术	药名里「白」认成「自」；自术不是药
自芍	白芍	同上
自芷	白芷	同上
炙甘早	炙甘草	「草」认成「早」
甘早	甘草	同上
黄羊	黄芪	「芪」被认成「羊」；黄羊不是药
党叁	党参	「参」的异体字「叁」；党叁不是规范写法
人叁	人参	同上
玄叁	玄参	同上
苦叁	苦参	同上
舌质淡红苔薄自腻	舌质淡红苔薄白腻	长写法单独收：整词替换下短条目匹配不到它
